starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:05 2023	1697754065	4	153	156	153
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	157	157	156
Thu Oct 19 22:21:06 2023	1697754066	0	157	157	156
Thu Oct 19 22:21:06 2023	1697754066	0	157	157	156
Thu Oct 19 22:21:06 2023	1697754066	0	157	157	157
